lead_type,company_name,description,email,phone,website,instagram,facebook,city,country,region,source,source_url,scraped_date
Press Office,Antik Batik,Brand Contact (potential PR),N/A,+33 (0)1 48 87 90 29,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/antikbatik,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/antikbatik,2025-11-13
Press Office,EBIT™,Brand Contact (potential PR),N/A,+393478096923,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ebit-tm_fashion_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ebit-tm_fashion_brand,2025-11-13
Press Office,Ernest Leoty,Brand Contact (potential PR),N/A,+33 (0)679378559,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ernestleoty_fashion_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ernestleoty_fashion_brand,2025-11-13
Press Office,Rosenthal Trading Gmbh,Brand Contact (potential PR),N/A,68 40474,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/rosenthal,@Showroom,N/A,Düsseldorf,Germany,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/rosenthal,2025-11-13
Press Office,Goti,Brand Contact (potential PR),N/A,8 - 20135,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/gotijewelry,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/gotijewelry,2025-11-13
Press Office,Guidi,Brand Contact (potential PR),N/A,+39 391 159 83 26,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/guidi,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/guidi,2025-11-13
Press Office,Hul le Kes,Brand Contact (potential PR),N/A,+31(0)6 24 13 43 11,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/hul_le_kes_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/hul_le_kes_brand,2025-11-13
Press Office,Labo.Art,Brand Contact (potential PR),N/A,12 20154,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/laboart,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/laboart,2025-11-13
Press Office,ma' ry' ya,Brand Contact (potential PR),N/A,27-20144,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/maryya_maria_icho_knitwear,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/maryya_maria_icho_knitwear,2025-11-13
Press Office,Malloni,Brand Contact (potential PR),N/A,+39 349 8244374,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/malloni,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/malloni,2025-11-13
Press Office,Maria Calderara,Brand Contact (potential PR),N/A,15 - 20124,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/mariacalderara,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/mariacalderara,2025-11-13
Press Office,Marsèll,Brand Contact (potential PR),N/A,+39 02 76 39 49 20,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/marsell,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/marsell,2025-11-13
Press Office,Paul Easterlin,Brand Contact (potential PR),N/A,+1 917 362 67 50,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/paul_easterlin_shoes,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/paul_easterlin_shoes,2025-11-13
Press Office,Sorelle Secli,Brand Contact (potential PR),N/A,21 20121,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/sorelle_secli,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/sorelle_secli,2025-11-13
Press Office,MR60 Showroom,Brand Contact (potential PR),N/A,21 20121,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/mr60_showroom,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/mr60_showroom,2025-11-13
Press Office,Toga,Brand Contact (potential PR),N/A,75003 75003,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/toga,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/toga,2025-11-13
Press Office,Transit,Brand Contact (potential PR),N/A,31 20144,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/transitparsuch,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/transitparsuch,2025-11-13
Press Office,Y-3,Brand Contact (potential PR),N/A,+49 (0)151 12 26 44 50,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/y-3,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/y-3,2025-11-13
Press Office,Zona20 Milano,Brand Contact (potential PR),N/A,26 20143,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/zona20milano,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/zona20milano,2025-11-13
Press Office,Maria Vittoria Bar Ziv,Brand Contact (potential PR),N/A,38 20129,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/dmvb,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/dmvb,2025-11-13
Press Office,Disaya. Ges Isaj Gas Isaj,Brand Contact (potential PR),N/A,26 20135,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,2025-11-13
Press Office,Ges Isaj Gas Isaj,Brand Contact (potential PR),N/A,26 20135,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,2025-11-13
Press Office,Mattia Mao,Brand Contact (potential PR),N/A,20 20143,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/fattorekhouse,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/fattorekhouse,2025-11-13
Press Office,Savina Capuzzolo,Brand Contact (potential PR),N/A,19 20129,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/danieleghiselli,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/danieleghiselli,2025-11-13
Press Office,Paola Zavattoni,Brand Contact (potential PR),N/A,42 20129,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroompapaveri,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroompapaveri,2025-11-13
Press Office,Francesca Casati,Brand Contact (potential PR),N/A,34 20139,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/himco,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/himco,2025-11-13
Press Office,Alessandra Chiara Guffanti,Brand Contact (potential PR),N/A,37 20122,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/guffanti,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/guffanti,2025-11-13
Press Office,Silvia Alessia,Brand Contact (potential PR),N/A,+39 02 54 09 02 01,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/elisagaito,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/elisagaito,2025-11-13
Press Office,Talk Studio,Brand Contact (potential PR),N/A,+33 (0)1 40 28 17 90,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/talkstudio,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/talkstudio,2025-11-13
Press Office,Beams Boy,Brand Contact (potential PR),N/A,+81 (0)80 16 10 32 09,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_boy_fashion_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_boy_fashion_brand,2025-11-13
Press Office,Beams Japan,Brand Contact (potential PR),N/A,+81 (0)80 1610 3209,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_japan_fashion_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_japan_fashion_brand,2025-11-13
Press Office,Bokja,Brand Contact (potential PR),N/A,+39 02 55 01 59 97,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/bokja_fashion,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/bokja_fashion,2025-11-13
Press Office,Breramode,Brand Contact (potential PR),N/A,+39 02 55 01 59 97,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/breramode,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/breramode,2025-11-13
Press Office,Massimo Bonini Showroom,Brand Contact (potential PR),N/A,41 20121,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/massimobonini,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/massimobonini,2025-11-13
Press Office,Cazabat,Brand Contact (potential PR),N/A,+39 335 199 76 92,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jeanmichelcazabat,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jeanmichelcazabat,2025-11-13
Press Office,Heda Showroom,Brand Contact (potential PR),N/A,31 20137,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/hedashowroom,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/hedashowroom,2025-11-13
Press Office,DMVB,Brand Contact (potential PR),N/A,38 20129,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/dmvb,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/dmvb,2025-11-13
Press Office,Studio Zeta,Brand Contact (potential PR),N/A,26 20135,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,2025-11-13
Press Office,Done!,Brand Contact (potential PR),N/A,69 20137,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/done,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/done,2025-11-13
Press Office,Fattore K House,Brand Contact (potential PR),N/A,20 20143,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/fattorekhouse,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/fattorekhouse,2025-11-13
Press Office,Daniele Ghiselli Showroom,Brand Contact (potential PR),N/A,19 20129,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/danieleghiselli,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/danieleghiselli,2025-11-13
Press Office,Inoui Editions,Brand Contact (potential PR),N/A,+33 6 86 22 81 86,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/inouieditions,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/inouieditions,2025-11-13
Press Office,International Gallery Beams,Brand Contact (potential PR),N/A,+81 (0)80 16 10 32 09,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_fashion_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_fashion_brand,2025-11-13
Press Office,Isabel Benenato,Brand Contact (potential PR),N/A,5 - 20144,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/isabelbenenato,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/isabelbenenato,2025-11-13
Press Office,Jean-François Mimilla,Brand Contact (potential PR),N/A,- 150-0001,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jeanfrancoismimilla,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jeanfrancoismimilla,2025-11-13
Press Office,Kohshin Satoh,Brand Contact (potential PR),N/A,+81 (3) 6805 1412,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/kohshin_satoh,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/kohshin_satoh,2025-11-13
Press Office,Kuboraum/Innerraum,Brand Contact (potential PR),N/A,+39 342 3740467,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/kuboraum,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/kuboraum,2025-11-13
Press Office,Showroom Marcona3,Brand Contact (potential PR),N/A,+39 02 54 12 03 59,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroommarcona3,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroommarcona3,2025-11-13
Press Office,Marc Le Bihan,Brand Contact (potential PR),N/A,- 150-0001,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/marclebihan,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/marclebihan,2025-11-13
Press Office,Guffanti Concept Showroom,Brand Contact (potential PR),N/A,37 20122,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/guffanti,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/guffanti,2025-11-13
Press Office,Melissa Odabash,Brand Contact (potential PR),N/A,+44 (0)20 74 99 91 29,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/melissa_odabash,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/melissa_odabash,2025-11-13
Press Office,Monsieur Charli,Brand Contact (potential PR),N/A,+33 06 64 32 60 73,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/monsieurcharli,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/monsieurcharli,2025-11-13
Press Office,LAB fashion agency,Brand Contact (potential PR),N/A,7 - 20144,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/lab_fashion_agency_multibrand_kid_showroom,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/lab_fashion_agency_multibrand_kid_showroom,2025-11-13
Press Office,Papaveri Showroom,Brand Contact (potential PR),N/A,42 20129,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroompapaveri,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroompapaveri,2025-11-13
Press Office,HIM Co,Brand Contact (potential PR),N/A,34 20139,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/himco,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/himco,2025-11-13
Press Office,Noon By Noor,Brand Contact (potential PR),N/A,+973 38 11 12 60,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/noon-by-noor,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/noon-by-noor,2025-11-13
Press Office,Ozgur Masur,Brand Contact (potential PR),N/A,+90 533 430 4828,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ozgur-masur,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ozgur-masur,2025-11-13
Press Office,Showapp Showroom,Brand Contact (potential PR),N/A,+90 533 430 4828,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showappshowroom,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showappshowroom,2025-11-13
Press Office,Elisa Gaito,Brand Contact (potential PR),N/A,+39 02 54 09 02 01,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/elisagaito,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/elisagaito,2025-11-13
Press Office,Patrick Cupid,Brand Contact (potential PR),N/A,+1 917 915 0647,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/patrick-cupid,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/patrick-cupid,2025-11-13
Press Office,Point di Mariapia Bernardis and co.,Brand Contact (potential PR),N/A,13 20129,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/point,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/point,2025-11-13
Press Office,Rallegrati,Brand Contact (potential PR),N/A,69 20137,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rallegrati_fashion_brand,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rallegrati_fashion_brand,2025-11-13
Press Office,Ron Dorff,Brand Contact (potential PR),N/A,+44 7387 276 256,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rondorff,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rondorff,2025-11-13
Press Office,Rosa Maria,Brand Contact (potential PR),N/A,+961 (0)3 65 22 36,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rosamaria,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rosamaria,2025-11-13
Press Office,Jordana Scott,Brand Contact (potential PR),N/A,+44 (0)2 03 75 79 340,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/pollykingandco,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/pollykingandco,2025-11-13
Press Office,Gas Isaj Orges Isaj,Brand Contact (potential PR),N/A,26 20135,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,2025-11-13
Press Office,Ludovica Bello Elena Pogodaeva,Brand Contact (potential PR),N/A,37 20143,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/marzianobello,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/marzianobello,2025-11-13
Press Office,Nemozena. Gas Isaj Orges Isaj,Brand Contact (potential PR),N/A,26 20135,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,2025-11-13
Press Office,Yuki Terase Matt Whyte,Brand Contact (potential PR),N/A,+44 (0) 20 70 33 38 15,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/papermachetiger,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/papermachetiger,2025-11-13
Press Office,Elena Pogodaeva,Brand Contact (potential PR),N/A,37 20143,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/marzianobello,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/marzianobello,2025-11-13
Press Office,RG Showroom,Brand Contact (potential PR),N/A,+39 02 36 75 49 50,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/riccardograssishowroom,@RG,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/riccardograssishowroom,2025-11-13
Press Office,Camalya,Brand Contact (potential PR),N/A,+33 (0)6 16 38 85 97,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/camalya,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/camalya,2025-11-13
Press Office,Polly King and Co,Brand Contact (potential PR),N/A,+44 (0)2 03 75 79 340,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/pollykingandco,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/pollykingandco,2025-11-13
Press Office,Épice Paris,Brand Contact (potential PR),N/A,+33 (0)1 44 54 01 50,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/epiceparis,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/epiceparis,2025-11-13
Press Office,Facetasm,Brand Contact (potential PR),N/A,+33 (0) 6 83 33 17 15,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/facetasm,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/facetasm,2025-11-13
Press Office,Ferronato,Brand Contact (potential PR),N/A,+41(0)796958040,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ferronato_fashion_accessories,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ferronato_fashion_accessories,2025-11-13
Press Office,Marziano Bello,Brand Contact (potential PR),N/A,37 20143,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/marzianobello,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/marzianobello,2025-11-13
Press Office,Jet Set,Brand Contact (potential PR),N/A,31 20144,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jetset,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jetset,2025-11-13
Press Office,Anatomy,Brand Contact (potential PR),N/A,+33 (0)6 12 47 57 64,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/anatomy,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/anatomy,2025-11-13
Press Office,Moismont,Brand Contact (potential PR),N/A,+33 (0)6 89 30 67 93,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/moismont,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/moismont,2025-11-13
Press Office,Paper Mache Tiger,Brand Contact (potential PR),N/A,+44 (0) 20 70 33 38 15,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/papermachetiger,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/papermachetiger,2025-11-13
Press Office,Riz Poli,Brand Contact (potential PR),N/A,+33 (0)6 58 18 61 48,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/riz-poli,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/riz-poli,2025-11-13
Press Office,Other / Wise,Brand Contact (potential PR),N/A,+33 (0)6 58 18 61 48,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/other_wise,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/other_wise,2025-11-13
Press Office,Van Palma,Brand Contact (potential PR),N/A,27-45 20144,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/vanpalma,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/vanpalma,2025-11-13
